person,group,date,degree,
gates,1,4/1/2016,1,
gates,1,5/1/2016,1,
gates,1,6/1/2016,1,
gates,1,7/1/2016,1,
gates,1,8/1/2016,1,
manafort,1,3/1/2016,1,
manafort,1,4/1/2016,1,
manafort,1,4/1/2016,1,
manafort,1,5/1/2016,1,first meeting
manafort,1,6/1/2016,1,
manafort,1,7/1/2016,1,
manafort,1,8/1/2016,1,second meeting
manafort,1,1/1/2017,1,
manafort,1,2/1/2017,1,
clovis,2,3/1/2016,2,
clovis,2,5/1/2016,2,
clovis,2,6/1/2016,2,
clovis,2,7/1/2016,2,
clovis,2,8/1/2016,2,
lewandowski,2,4/1/2016,2,
lewandowski,2,5/1/2016,2,
lewandowski,2,6/1/2016,2,
manafort,2,5/1/2016,2,
miller,2,4/1/2016,2,
papadopolous,2,4/1/2016,1,
papadopolous,2,5/1/2016,1,
papadopolous,2,3/1/2016,1,
papadopolous,2,6/1/2016,1,
papadopolous,2,7/1/2016,1,
papadopolous,2,8/1/2016,1,
phares,2,7/1/2016,2,
phares,2,8/1/2016,2,
cohen,3,12/1/2013,1,
cohen,3,6/1/2016,2,
gates,3,6/1/2016,2,
ivanka,3,12/1/2013,1,
jr,3,12/1/2013,1,
jr,3,6/1/2016,1,
kushner,3,6/1/2016,1,
manafort,3,6/1/2016,1,
cohen,4,11/1/2015,1,
ivanka,4,11/1/2015,1,
clovis,5,7/1/2016,2,
page,5,7/1/2016,1,
page,5,12/1/2016,1,
bannon,6,11/1/2016,2,
bannon,6,12/1/2016,2,
flynn,6,11/1/2016,1,
flynn,6,12/1/2016,1,un sanctions
gordon,6,7/1/2016,1,
kushner,6,4/1/2016,1,
kushner,6,11/1/2016,1,
kushner,6,12/1/2016,1,
mcfarland,6,12/1/2016,2,
page,6,7/1/2016,1,
page,6,7/1/2016,1,
sessions,6,4/1/2016,1,
sessions,6,7/1/2016,1,
sessions,6,8/1/2016,1,
sessions,6,9/1/2016,1,
cohen,7,9/1/2015,1,
cohen,7,9/1/2015,1,
cohen,7,10/1/2015,1,
ivanka,7,9/1/2015,2,
jr,7,9/1/2015,2,
caputo,8,5/1/2016,2,
stone,8,5/1/2016,1,
bannon,9,1/1/2017,2,denies
kushner,9,1/1/2017,2,
prince,9,1/1/2017,1,
cohen,5,1/1/2016,1,